ID,Actual Electricity energy,Predicted Electricity energy,Actual Gas energy,Predicted Gas energy
Test_0,0.2954635643317722,0.2967410583496094,0.433234920769541,0.42975210571289063
Test_1,0.6889782867350105,0.6892234497070312,0.0,-0.00019582392275333405
Test_2,0.22554659559964452,0.228927734375,0.4598223356899219,0.45756027221679685
Test_3,0.23249863436876203,0.231619140625,0.389807798658454,0.38498870849609373
Test_4,0.2612484239069575,0.2587308959960937,0.4098763945097953,0.41279446411132814
Test_5,0.5780102468324564,0.575005859375,0.0,0.00027194860577583313
Test_6,0.5885745123826229,0.5866211547851562,0.0,3.0295705422759056e-05
Test_7,0.6101003055694182,0.61203564453125,0.0,7.799006532877684e-06
Test_8,0.6250928560873911,0.6246652221679687,0.0,0.00024938087165355684
Test_9,0.5850415666806579,0.5819139404296875,0.0,5.3037621080875396e-05
Test_10,0.19458017178332573,0.20200857543945314,0.4562350439927837,0.4641394958496094
Test_11,0.5081092263072405,0.5108710632324219,0.0,7.399920374155044e-05
Test_12,0.2340069508184474,0.23588230895996093,0.523135823760624,0.51515185546875
Test_13,0.225945060334762,0.22649822998046876,0.31555629286006087,0.31530157470703124
Test_14,0.5568618092701201,0.5609680786132812,0.0,-0.00018074674904346467
Test_15,0.7467890786150396,0.718689208984375,0.0,0.007004239559173584
Test_16,0.2569920372401774,0.2516766967773437,0.3474670847805793,0.3521580200195312
Test_17,0.21238145296633143,0.21375357055664063,0.30822662516197563,0.30829510498046875
Test_18,0.6085514152770308,0.6104208984375,0.0,-0.00012973125278949738
Test_19,0.2815381719643028,0.28349462890625,0.4952873096219412,0.4778058166503906
Test_20,0.2261793176538685,0.22749520874023438,0.2793923372851952,0.27699276733398437
Test_21,0.2930197988866272,0.28705865478515624,0.4202144419255992,0.4239361572265625
Test_22,0.19822341161818635,0.2062386016845703,0.3347793526796018,0.34015850830078126
Test_23,0.6419070615518737,0.6413458251953125,0.0,-5.7358883321285246e-05
Test_24,0.5469669097757955,0.5562455444335938,0.0,-9.10923108458519e-05
Test_25,0.4678447739186295,0.480193359375,0.0,0.00011111912876367568
Test_26,0.575259815413949,0.5711851196289063,0.0,8.87439399957657e-06
Test_27,0.6003528580579304,0.6036722412109375,0.0,-0.00016744811832904817
Test_28,0.19125032219482074,0.1909317626953125,0.531846535702542,0.5308933715820312
Test_29,0.6852728800675693,0.6817509155273438,0.0,-5.6264959275722504e-05
Test_30,0.34062809875762246,0.34049783325195315,0.3161826180864715,0.3170684814453125
Test_31,0.24680370636712257,0.25287657165527344,0.3653651186342285,0.361520751953125
Test_32,0.5613668385683863,0.5628248901367188,0.0,1.4877236448228359e-05
Test_33,0.2583098825071102,0.25519973754882813,0.4303794160726421,0.4258899230957031
Test_34,0.5752373932593287,0.5788720092773437,0.0,-0.0001146986111998558
Test_35,0.6078496012025743,0.6095025634765625,0.0,-0.00021423746645450592
Test_36,0.588807369464357,0.5899190063476563,0.0,0.00013329699635505676
Test_37,0.2524710487028475,0.25542214965820315,0.3357366352099916,0.328955078125
Test_38,0.34554779583788453,0.3317589111328125,0.5107938436591715,0.5247259521484375
Test_39,0.5849145633276865,0.5961773681640625,0.0,4.512522369623184e-05
Test_40,0.5652656415409517,0.568423828125,0.0,0.0001016775742173195
Test_41,0.634802278540994,0.6375904541015625,0.0,7.636764086782933e-06
Test_42,0.6261379057550964,0.6336467895507812,0.0,7.602480798959732e-05
Test_43,0.5769582278155294,0.5703224487304688,0.0,0.00020848461985588073
Test_44,0.18669578621262026,0.20337258911132813,0.4365438165496036,0.44928128051757815
Test_45,0.23331549163457413,0.23910545349121093,0.3081893791893051,0.3070080871582031
Test_46,0.6187042421064701,0.6195089111328125,0.0,1.9192611798644066e-05
Test_47,0.4924104504184732,0.5031239013671875,0.0,-0.0005467358231544495
Test_48,0.2798670561959451,0.28356973266601565,0.39362283913562335,0.3834898681640625
Test_49,0.24660785299958354,0.24290986633300782,0.3011148476962644,0.30671975708007815
Test_50,0.579579206502419,0.5780836181640625,0.0,-4.803486913442612e-05
Test_51,0.596726144333417,0.591807373046875,0.0,-1.2967371381819249e-05
Test_52,0.38194794483678995,0.3454645690917969,0.49109293772218615,0.5069385681152344
Test_53,0.2636092626804677,0.2573921813964844,0.3609601804997909,0.366284423828125
