ID,Actual Electricity energy,Predicted Electricity energy,Actual Gas energy,Predicted Gas energy
Test_0,0.33932955011111415,0.3383609619140625,0.0,-3.177269920706749e-05
Test_1,0.2827125940247227,0.28513125610351564,0.05364936646379798,0.054334033966064454
Test_2,0.2550987268466233,0.2541091156005859,0.08190387644036148,0.08190550231933594
Test_3,0.38372320726856884,0.3835025634765625,0.0,-2.9014697298407556e-05
Test_4,0.2785025526381369,0.28017813110351564,0.061900010735277435,0.06307652664184571
Test_5,0.3007933077809993,0.301724609375,0.0,-8.638625033199787e-06
Test_6,0.4095786851348706,0.4086046447753906,0.0,-5.829286202788353e-05
Test_7,0.33375977723537825,0.3374178466796875,0.07522026651526213,0.07021443939208985
Test_8,0.2780928219447975,0.28368826293945315,0.05110295029519497,0.054110107421875
Test_9,0.2581870411042943,0.25463832092285155,0.050277213315661345,0.0497425651550293
Test_10,0.30527414969576516,0.30676568603515625,0.0,-9.930355846881867e-05
Test_11,0.38396535012741995,0.38282931518554686,0.0,1.280017476528883e-05
Test_12,0.3382796633611209,0.3339545288085938,0.06858122924484047,0.0685702133178711
Test_13,0.25739255941774325,0.2574404602050781,0.0889277985503316,0.08579029083251953
Test_14,0.3288435600468403,0.3270034484863281,0.05893570004554883,0.05805746841430664
Test_15,0.34952809842278443,0.3523739013671875,0.0,-2.5295300409197807e-05
Test_16,0.27543000328893713,0.2732843322753906,0.06309011145581468,0.06358513259887695
Test_17,0.3098332903879774,0.3073081359863281,0.06445451931111193,0.06380107498168945
Test_18,0.3195094872449748,0.32257916259765623,0.0,-4.312146827578545e-05
Test_19,0.277189364932018,0.27677996826171875,0.1386512903829337,0.136439697265625
Test_20,0.33827646597847905,0.33820822143554685,0.0689801093771514,0.07160959625244141
Test_21,0.29297988202986286,0.2920449523925781,0.05575722057802321,0.05592159652709961
Test_22,0.27282478668330346,0.2715250854492188,0.06470830919088848,0.0652792510986328
Test_23,0.26327966588714125,0.2627724609375,0.056332045094603746,0.05827798843383789
Test_24,0.27945416813960977,0.281189697265625,0.06594465906331848,0.06348359680175782
Test_25,0.30609735399258503,0.3097222290039062,0.0984421842936095,0.08767987823486328
Test_26,0.29462751241623897,0.296386474609375,0.06808780869581016,0.06625946807861328
Test_27,0.26826794591211767,0.2680519104003906,0.08245919231934251,0.08035519409179688
Test_28,0.37048227488827934,0.3709736022949219,0.0,-5.550959333777428e-05
Test_29,0.41125117911563164,0.40320880126953124,0.0,7.273140829056501e-06
Test_30,0.3212510511625669,0.3245074462890625,0.0,-0.00018904832005500792
Test_31,0.2585024414303292,0.2588265380859375,0.08362638984986326,0.08320191955566406
