ID,Actual Electricity energy,Predicted Electricity energy,Actual Gas energy,Predicted Gas energy
Test_0,0.3226553084638951,0.3194571533203125,0.0,-6.537072360515594e-05
Test_1,0.36398535572607105,0.35658514404296876,0.0,-1.2756758369505406e-05
Test_2,0.2913894460382828,0.29149398803710935,0.06056240733493089,0.06255559539794922
Test_3,0.30016886348803395,0.29938818359375,0.0,2.267896197736263e-05
Test_4,0.25190332591367187,0.24949456787109375,0.1115183288413733,0.14564772033691406
Test_5,0.23117994986650406,0.23206925964355468,0.05026971875184406,0.049057716369628905
Test_6,0.33180346074179,0.3312490844726563,0.0,0.00012062973529100418
Test_7,0.2400399146976727,0.24034808349609374,0.0514059523633051,0.051992313385009765
Test_8,0.2702855817129526,0.27463201904296874,0.0,8.574806153774261e-05
Test_9,0.288476696543244,0.2857863464355469,0.06107823102557968,0.06332146835327149
Test_10,0.3005273143652331,0.30275186157226563,0.0,5.13831302523613e-05
Test_11,0.32453654869186155,0.32314553833007814,0.0,-4.402943421155214e-06
Test_12,0.24523730113709954,0.24272071838378906,0.07894298608968145,0.0790953369140625
Test_13,0.31118460065240594,0.3110064086914063,0.0,-1.42489830031991e-05
Test_14,0.29839459522772516,0.2963101501464844,0.18663387485886754,0.17858120727539062
Test_15,0.2470424882038703,0.24702134704589843,0.05165686196280278,0.05339485931396484
Test_16,0.2578080683751328,0.25762554931640624,0.061845248559839756,0.06250697708129883
Test_17,0.272813005652569,0.2727839050292969,0.06325538114468875,0.06343313980102538
Test_18,0.29187357980913115,0.29222592163085936,0.0,5.6380078196525575e-05
Test_19,0.2916974372727898,0.29313555908203126,0.0,-2.6844890788197517e-05
Test_20,0.37215030740955574,0.3626095886230469,0.0,0.0006928028464317322
Test_21,0.23238423002529796,0.2319877166748047,0.05428674792750869,0.0544400634765625
Test_22,0.25366131004978654,0.2576111145019531,0.051444095901433874,0.05114864730834961
Test_23,0.25151435522672816,0.2505936126708984,0.05205009412231622,0.05234848403930664
Test_24,0.24553820990964284,0.2452024688720703,0.06338145915821412,0.06381509780883789
Test_25,0.33592785002952075,0.3349312744140625,0.0,-1.3402196578681469e-05
Test_26,0.2630161567669983,0.26417141723632814,0.0826322182251861,0.08127264404296874
Test_27,0.24066094178268888,0.2401919708251953,0.05534096088878123,0.05656778717041016
Test_28,0.3306295878646111,0.32895584106445314,0.0,-7.067975401878357e-05
Test_29,0.3139366742128873,0.31529653930664064,0.0,2.9154812917113303e-05
Test_30,0.26756154992667297,0.26726455688476564,0.08379366510590776,0.08325023651123047
Test_31,0.23598625318842065,0.23513075256347657,0.05812436277788223,0.05886666107177734
Test_32,0.3541424464740872,0.35206643676757815,0.0,4.7938138246536256e-05
Test_33,0.29695669239138517,0.2981504211425781,0.0,-2.040100283920765e-05
Test_34,0.32687717958891416,0.32389178466796875,0.0,2.914361469447613e-05
Test_35,0.25707944544277495,0.2589320068359375,0.06011061913544688,0.05717066192626953
Test_36,0.2520300047971249,0.2516282501220703,0.06885185310184422,0.06742327117919922
Test_37,0.283074765023611,0.281994140625,0.0,2.1300604566931723e-05
Test_38,0.3061055584862144,0.30361737060546873,0.0,-0.001346205234527588
Test_39,0.3033141187545157,0.30822842407226564,0.0,-0.00026340419054031374
Test_40,0.24920495601728873,0.24803858947753907,0.052068535434548646,0.05256301498413086
Test_41,0.22691169108218792,0.22789779663085938,0.050324992860353794,0.05063664245605469
Test_42,0.2632334268338471,0.26305828857421876,0.0804373954929343,0.07921189880371093
Test_43,0.25134808343142767,0.2538703155517578,0.0621103895458674,0.06097831726074219
Test_44,0.31801330280794676,0.31871832275390627,0.0,1.0749137960374356e-05
Test_45,0.2706209221868508,0.27202215576171873,0.08905627895851966,0.08909455871582031
Test_46,0.2880823156691108,0.2949141845703125,0.0,-3.303058445453644e-05
Test_47,0.2413290718038082,0.24109390258789062,0.05717467514414104,0.061064258575439456
Test_48,0.2581322222309692,0.2580120849609375,0.08934534252504181,0.08978367614746094
Test_49,0.32851732310774306,0.33184619140625,0.0,-4.705401510000229e-05
Test_50,0.3432070989536538,0.3412326354980469,0.0,0.00012987983226776123
Test_51,0.3388938152362205,0.33752084350585937,0.0,-1.2610122794285418e-06
Test_52,0.2465915310829577,0.24701153564453124,0.053503126730853154,0.058934478759765624
Test_53,0.27237753291377165,0.2734192199707031,0.0,-5.592632805928588e-07
Test_54,0.2838844819487646,0.2870312194824219,0.0,-1.7576130107045172e-05
Test_55,0.31449624145064015,0.3122615966796875,0.0,0.00014429277181625367
Test_56,0.27044695846088407,0.2728367919921875,0.08581730121248267,0.07750800323486329
Test_57,0.236403801078485,0.23647689819335938,0.05552441287221215,0.05650765609741211
Test_58,0.29052573514768304,0.28915560913085936,0.0,-3.0904317274689676e-05
Test_59,0.32779848453427096,0.32875054931640624,0.0,-1.5120350755751132e-05
Test_60,0.32509593297884454,0.32652484130859377,0.0,1.9355446100234986e-05
Test_61,0.33351303167803814,0.3298725280761719,0.0,1.2190490029752255e-05
Test_62,0.2927099617044203,0.29215249633789064,0.07621920352133772,0.0725401382446289
Test_63,0.3046177036355591,0.29950543212890623,0.17922940805029058,0.17507058715820312
Test_64,0.28383973876507573,0.28332565307617186,0.0,3.0029600486159325e-05
Test_65,0.3423941122263503,0.34183648681640627,0.0,1.0970121249556541e-05
Test_66,0.353010406938763,0.34620745849609375,0.0,-0.00021356436610221863
Test_67,0.2250022618731307,0.22745643615722655,0.05154963772480941,0.05239324188232422
Test_68,0.2869448934372632,0.28920391845703125,0.0,-0.00010866010934114456
Test_69,0.33996366568861264,0.3368016052246094,0.0,-2.8021521866321565e-05
Test_70,0.24356647963238565,0.24610818481445312,0.09408303821543539,0.10497827911376953
Test_71,0.3167260417541938,0.31487774658203127,0.0,-5.2982397377490995e-05
Test_72,0.27572909357441877,0.279522705078125,0.07891452744486967,0.07475603485107422
Test_73,0.23710964778278598,0.24517730712890626,0.13767715932807528,0.1392789306640625
Test_74,0.3021879369391155,0.3067908935546875,0.0,-8.425935357809067e-05
Test_75,0.24040857187890252,0.23953536987304688,0.051118818478545665,0.050240577697753905
Test_76,0.24133300685157838,0.24217977905273438,0.054774362592972484,0.05719301223754883
Test_77,0.2547895862633734,0.2554577331542969,0.05491206865110571,0.0576190414428711
Test_78,0.2603402028261916,0.26083090209960935,0.06227968037290391,0.06549008178710937
Test_79,0.2726138946286804,0.275171142578125,0.08044008020601387,0.07999160003662109
Test_80,0.31263859609990663,0.31819174194335936,0.0,-2.924557030200958e-05
Test_81,0.268753787606528,0.2687071533203125,0.0,2.7733897790312766e-05
Test_82,0.28914206488256106,0.284726318359375,0.07098911828667799,0.06881022644042968
Test_83,0.2538413186184246,0.25447802734375,0.08221496551877457,0.08199275207519531
Test_84,0.2814701934680574,0.278109130859375,0.05113221188250191,0.05218814086914063
Test_85,0.34888725256451625,0.3473072509765625,0.0,-8.633514493703842e-05
Test_86,0.2267720942350749,0.22719403076171876,0.04994767479976444,0.04994898223876953
Test_87,0.34726479904298174,0.34679608154296876,0.0,-2.919224090874195e-05
Test_88,0.2406674338234452,0.24058575439453125,0.05316254505374789,0.053747074127197265
Test_89,0.26851397193607035,0.271900634765625,0.0,2.7169903740286827e-05
Test_90,0.2943063077346619,0.2954562072753906,0.0,3.443438559770584e-05
Test_91,0.2607366633777051,0.25931085205078125,0.06703549799972956,0.06772013092041015
Test_92,0.2675064539767024,0.26740011596679686,0.06597163686627523,0.06479569244384766
Test_93,0.28852982852509784,0.2904737548828125,0.06786627893184191,0.06601646423339844
Test_94,0.27581670150207804,0.275568359375,0.081056137132933,0.07951642608642578
Test_95,0.255369870578958,0.2570599365234375,0.07004591293693901,0.06932779693603516
Test_96,0.31960155038863913,0.32142169189453124,0.0,1.761644147336483e-06
Test_97,0.3250086317672981,0.3292674865722656,0.0,1.394692063331604e-05
Test_98,0.2562952988831752,0.2571323547363281,0.07420542488107498,0.07514835357666015
Test_99,0.27247996694520554,0.27423040771484375,0.0,-2.381204254925251e-05
Test_100,0.4174908799603905,0.41869479370117185,0.0,0.00022529974579811097
Test_101,0.2954028095689567,0.2944009094238281,0.0,9.242407977581025e-05
Test_102,0.24356969363362652,0.2438429412841797,0.08385226061053987,0.08461627197265625
Test_103,0.27092443275918926,0.2732998046875,0.05025755991897779,0.051865543365478516
Test_104,0.2599588843740748,0.2626050109863281,0.06828284323705422,0.06701581573486329
Test_105,0.2663549898492497,0.2662431945800781,0.07311325560179015,0.07084030914306641
Test_106,0.2462286050630072,0.24728677368164062,0.052194353504799014,0.05221371078491211
